Type,Group,Video,g,g_mean,g_std
run,small,v1,5.150501251220703,,
run,small,v2,5.150469779968262,,
run,small,v3,5.150477886199951,,
run,small,v4,5.150481700897217,,
run,small,v5,5.150483131408691,,
summary,small,,,5.150483,0.000012
run,medium,v1,9.955167770385742,,
run,medium,v2,9.955167770385742,,
run,medium,v3,9.955167770385742,,
run,medium,v4,9.955167770385742,,
run,medium,v5,9.955167770385742,,
summary,medium,,,9.955168,0.000000
run,large,v1,10.774540901184082,,
run,large,v2,9.815096855163574,,
run,large,v3,10.800655364990234,,
run,large,v4,9.299239158630371,,
run,large,v5,10.763667106628418,,
summary,large,,,10.290640,0.694091
