dataset,alpha,mu,score,acceleration,group,video
low_v1,20.0,0.2075707423845488,0.9697028376400696,1.4417506689595416,low,1
low_v2,30.0,0.2075707423845488,0.9403519800584286,3.141539331963463,low,2
low_v3,20.0,0.2075707423845488,0.9290081598857712,1.4417506689595416,low,3
low_v4,25.0,0.2075707423845488,0.9532883129189816,2.30039871207029,low,4
low_v5,25.0,0.2075707423845488,0.9325380102077832,2.30039871207029,low,5
med_v1,25.0,0.2075707423845488,0.9084454597175315,2.30039871207029,med,1
med_v2,30.0,0.2075707423845488,0.924651329010004,3.141539331963463,med,2
med_v3,30.0,0.2075707423845488,0.8520875970142239,3.141539331963463,med,3
med_v4,25.0,0.2075707423845488,0.9583881302788608,2.30039871207029,med,4
med_v5,25.0,0.2075707423845488,0.9592713736160066,2.30039871207029,med,5
high_v1,25.0,0.2075707423845488,0.3781590210616214,2.30039871207029,high,1
high_v2,30.0,0.2075707423845488,0.9577748778831564,3.141539331963463,high,2
high_v3,25.0,0.2075707423845488,0.917977806960272,2.30039871207029,high,3
high_v4,30.0,0.2075707423845488,0.976165725861756,3.141539331963463,high,4
high_v5,25.0,0.2075707423845488,0.9854495340777794,2.30039871207029,high,5
