dataset,k,score
small_v1,0.04565635903505267,0.00045009223917336083
small_v2,0.08100420995878041,0.000641039532654708
small_v3,0.012390596743249736,0.00853934985014504
small_v4,0.01604607929272641,0.0043042712819943985
small_v5,0.019688011710480284,0.00044492933606199436
med_v1,0.01797154766161428,0.003558911805314091
med_v2,0.01598012247889099,0.0035342139087503055
med_v3,0.027819043733356807,0.0019307149608484009
med_v4,0.027819043733356807,0.0019307149608484009
med_v5,0.043779655221380165,0.00041658449154569066
lar_v1,0.08773207979068873,0.010030485750436524
lar_v2,0.10149505641375484,1.4585630742303124e-05
lar_v3,0.09157199165172884,0.0019570005803878354
lar_v4,0.023018848546463334,0.001909250948311958
lar_v5,0.03838499254869575,0.0012014969796497743
